protein1	protein2
AT1G69120	AT1G69120
AT1G69120	AT5G62000
AT1G69120	AT2G35940
AT1G69120	AT2G20570
AT1G69120	AT5G46880
AT1G69120	AT5G25220
AT1G69120	AT1G77080
AT1G69120	AT2G47190
AT1G69120	AT5G20240
AT1G69120	AT3G48430
AT1G69120	AT5G02030
AT1G69120	AT1G24260
AT1G69120	AT2G22540
AT1G69120	AT2G31070
AT1G69120	AT3G47620
AT1G69120	AT3G15030
AT1G69120	AT5G24590
AT1G69120	AT5G23260
AT3G61120	AT3G54340
AT1G69120	AT3G54340
AT3G54340	AT3G54340
AT3G54340	AT5G20240
AT3G54340	AT1G24260
AT1G79430	AT4G25470
AT1G79430	AT4G00150
AT1G79430	AT4G04890
AT1G79430	AT3G02150
AT2G28350	AT5G60450
AT1G59750	AT1G34310
AT1G34310	AT3G61830
AT1G34310	AT5G62000
AT1G34310	AT5G60450
AT1G34310	AT4G23980
AT1G34310	AT1G19850
AT1G35540	AT3G61830
AT1G59750	AT3G61830
AT3G61830	AT3G61830
AT3G61830	AT5G62000
AT3G61830	AT5G60450
AT3G61830	AT4G23980
AT3G61830	AT4G32010
AT3G61830	AT1G19850
AT3G19290	AT1G19220
AT1G22130	AT1G19220
AT5G62165	AT1G19220
AT1G31630	AT1G19220
AT1G19220	AT1G35240
AT1G19220	AT1G71260
AT1G19220	AT5G08130
AT1G19220	AT5G62430
AT1G19220	AT3G45170
AT1G19220	AT4G36620
AT1G19220	AT3G60530
AT1G19220	AT5G60480
AT1G19220	AT5G67060
AT1G19220	AT4G22700
AT1G19220	AT4G37540
AT1G19220	AT3G06120
AT1G19220	AT4G17785
AT1G19220	AT1G79180
AT1G19220	AT4G37780
AT1G19220	AT1G32510
AT1G19220	AT4G28500
AT1G19220	AT1G56010
AT1G19220	AT2G34720
AT1G19220	AT3G14020
AT1G19220	AT1G30500
AT1G19220	AT5G23090
AT1G19220	AT3G48590
AT1G19220	AT1G30490
AT1G19220	AT5G45710
AT1G19220	AT1G19510
AT1G19220	AT5G37260
AT1G19220	AT3G02310
AT1G19220	AT3G45150
AT1G19220	AT5G35550
AT1G19220	AT2G02740
AT1G59750	AT1G59750
AT1G35240	AT3G61910
AT1G35240	AT5G20730
AT1G35240	AT4G35550
AT1G34310	AT1G34390
AT1G59750	AT5G60450
AT5G60450	AT5G60450
AT3G61830	AT1G30330
AT1G30330	AT4G23980
AT1G30330	AT2G01570
AT1G59750	AT4G23980
AT5G62000	AT4G23980
AT1G35240	AT4G23980
AT5G60450	AT4G23980
AT4G23980	AT4G23980
AT4G23980	AT1G19850
AT1G67710	AT5G03790
AT1G67710	AT3G55210
AT1G67710	AT2G01760
AT2G37630	AT2G37630
AT2G37630	AT1G65620
AT2G37630	AT5G15840
AT2G37630	AT3G24520
AT2G37630	AT4G37260
AT1G65620	AT1G65620
AT1G65620	AT4G00220
AT1G65620	AT2G30340
AT1G65620	AT1G53230
AT1G54060	AT2G38880
AT1G54060	AT3G01970
AT2G30130	AT4G34530
AT2G30130	AT2G33835
AT2G30130	AT2G30340
AT2G30130	AT2G40470
AT2G30130	AT3G26620
AT2G30130	AT5G63090
AT2G30130	AT5G60970
AT5G08790	AT5G08790
AT5G08790	AT5G13910
AT2G25900	AT3G19860
AT2G25900	AT5G47370
AT2G25900	AT3G26620
AT2G25900	AT4G30980
AT2G25900	AT3G47620
AT4G32980	AT1G26260
AT4G32980	AT1G70510
AT4G32980	AT5G11060
AT4G32980	AT1G23380
AT4G32980	AT1G62990
AT5G26650	AT1G69780
AT1G69780	AT1G75390
AT1G69780	AT3G01220
AT1G69780	AT1G73410
AT1G69780	AT2G21400
AT1G69780	AT3G49850
AT5G39760	AT5G39760
AT5G39760	AT2G18550
AT5G39760	AT4G24660
AT5G39760	AT2G18350
AT5G39760	AT5G65410
AT5G39760	AT3G50890
AT5G39760	AT5G15210
AT5G39760	AT1G69600
AT4G13980	AT5G17800
AT4G13980	AT5G45710
AT4G11660	AT4G11660
AT4G21750	AT4G04890
AT4G18960	AT5G56110
AT5G42630	AT5G56110
AT5G56110	AT2G18550
AT5G56110	AT4G30980
AT4G00480	AT3G27920
AT4G00480	AT1G66370
AT4G00480	AT1G66380
AT4G00480	AT5G40330
AT4G00480	AT4G38620
AT4G00480	AT3G13540
AT4G00480	AT5G14750
AT4G00480	AT1G66390
AT4G00480	AT5G35550
AT5G42630	AT2G33860
AT1G71260	AT5G65210
AT4G21340	AT5G09750
AT4G21340	AT5G65210
AT2G45880	AT5G45300
AT1G18400	AT4G27950
AT1G18400	AT5G09750
AT1G18400	AT5G16560
AT1G18400	AT1G66470
AT1G18400	AT4G33880
AT1G18400	AT4G27330
AT1G18400	AT3G15030
AT4G36540	AT5G03740
AT4G36540	AT5G37260
AT4G36540	AT5G60970
AT4G32980	AT1G73830
AT1G73830	AT5G15840
AT1G19700	AT1G26260
AT1G19700	AT4G08150
AT1G19700	AT1G70510
AT1G19700	AT4G32040
AT1G19700	AT1G23380
AT1G19700	AT2G01570
AT4G18960	AT5G41410
AT5G41410	AT2G35940
AT5G41410	AT1G75410
AT5G41410	AT2G23760
AT5G41410	AT1G26260
AT5G41410	AT4G08150
AT5G41410	AT1G70510
AT5G41410	AT4G32040
AT5G41410	AT1G23380
AT5G41410	AT1G24260
AT1G19350	AT5G15840
AT1G19350	AT4G17460
AT3G56970	AT4G35550
AT3G56980	AT5G11260
AT3G56980	AT5G65210
AT2G41240	AT3G61910
AT5G04150	AT5G11260
AT5G54680	AT4G14410
AT4G14410	AT3G19860
AT5G39660	AT3G19860
AT4G35550	AT3G19860
AT5G64750	AT3G25710
AT3G25710	AT5G41315
AT5G43650	AT5G65210
AT5G08130	AT5G08130
AT5G08130	AT5G38860
AT5G08130	AT1G24590
AT5G08130	AT1G12980
AT5G08130	AT5G11590
AT5G08130	AT5G60120
AT5G08130	AT1G69010
AT1G69010	AT1G69010
AT1G69010	AT5G38860
AT1G69010	AT4G17785
AT1G69010	AT5G11590
AT4G32980	AT2G35940
AT1G19700	AT2G35940
AT2G35940	AT2G35940
AT2G35940	AT4G36870
AT2G35940	AT1G75410
AT2G35940	AT2G23760
AT2G35940	AT4G34610
AT2G35940	AT1G26260
AT2G35940	AT3G51080
AT2G35940	AT4G32010
AT2G35940	AT1G70510
AT2G35940	AT5G25220
AT2G35940	AT4G32040
AT2G35940	AT1G23380
AT2G35940	AT3G47620
AT2G37630	AT4G36870
AT5G41410	AT4G36870
AT4G36870	AT2G23760
AT4G36870	AT1G26260
AT4G36870	AT4G08150
AT4G36870	AT1G70510
AT4G36870	AT5G25220
AT4G36870	AT4G32040
AT4G36870	AT1G23380
AT1G19700	AT1G75410
AT1G75410	AT1G75410
AT1G75410	AT2G23760
AT1G75410	AT2G16400
AT1G75410	AT1G26260
AT1G75410	AT5G25220
AT1G75410	AT4G32040
AT1G75410	AT1G23380
AT1G75410	AT5G02030
AT4G32980	AT2G23760
AT1G19700	AT2G23760
AT2G23760	AT2G27220
AT2G23760	AT1G26260
AT2G23760	AT4G08150
AT2G23760	AT1G70510
AT2G23760	AT5G25220
AT2G23760	AT4G32040
AT2G23760	AT1G23380
AT2G23760	AT5G27910
AT2G23760	AT3G03450
AT2G23760	AT2G41940
AT2G27220	AT1G70510
AT2G27220	AT5G25220
AT2G27220	AT4G32040
AT2G27220	AT1G23380
AT2G27220	AT1G62990
AT4G34610	AT5G53950
AT4G34610	AT4G08150
AT4G34610	AT1G70510
AT4G34610	AT5G25220
AT4G34610	AT5G11060
AT4G34610	AT4G32040
AT4G34610	AT1G23380
AT4G34610	AT1G62990
AT4G34610	AT5G66300
AT2G16400	AT3G02990
AT2G16400	AT4G08150
AT2G16400	AT5G25220
AT2G16400	AT4G32040
AT2G16400	AT1G23380
AT2G16400	AT1G62990
AT2G16400	AT3G61910
AT2G16400	AT5G65210
AT2G27990	AT4G08150
AT2G27990	AT1G70510
AT5G45300	AT5G53200
AT3G47710	AT5G03720
AT3G47710	AT5G17800
AT2G01930	AT2G01930
AT2G01930	AT5G42520
AT2G01930	AT3G47620
AT2G01930	AT3G15030
AT1G14685	AT3G47620
AT1G68120	AT3G47620
AT1G68120	AT3G15030
AT2G01930	AT2G21240
AT2G21240	AT2G21240
AT2G21240	AT5G42520
AT5G64750	AT4G38910
AT4G38910	AT5G42520
AT5G42520	AT5G42520
AT2G35550	AT3G16870
AT2G35550	AT3G51080
AT2G35550	AT4G35550
AT5G37020	AT1G59640
AT5G26650	AT3G18550
AT5G38860	AT3G18550
AT3G18550	AT5G38800
AT3G18550	AT5G15840
AT3G18550	AT5G53950
AT3G18550	AT5G09750
AT3G18550	AT3G24520
AT3G18550	AT5G25220
AT3G18550	AT3G27785
AT3G18550	AT5G17800
AT3G18550	AT5G47640
AT3G18550	AT5G27910
AT3G18550	AT5G17300
AT3G18550	AT5G37260
AT3G18550	AT5G66350
AT3G18550	AT4G36260
AT3G18550	AT3G55980
AT3G18550	AT5G65210
AT3G18550	AT5G25160
AT4G36730	AT2G35530
AT2G40950	AT2G40950
AT2G40950	AT3G10800
AT2G40950	AT3G56660
AT2G40950	AT1G42990
AT3G54620	AT5G49450
AT5G49450	AT1G75390
AT5G28770	AT5G49450
AT4G34590	AT5G49450
AT3G51960	AT3G51960
AT3G24650	AT3G54620
AT3G54620	AT1G75390
AT3G54620	AT3G62420
AT3G54620	AT4G02640
AT3G54620	AT4G34590
AT2G17770	AT2G17770
AT2G17770	AT4G35900
AT3G10800	AT3G10800
AT3G10800	AT3G56660
AT3G10800	AT1G42990
AT3G10800	AT2G34720
AT3G10800	AT4G14540
AT3G10800	AT1G56170
AT2G42380	AT2G42380
AT2G42380	AT3G61910
AT2G42380	AT1G43700
AT5G49450	AT3G30530
AT3G30530	AT3G30530
AT3G30530	AT1G75390
AT3G30530	AT1G13600
AT2G42380	AT5G38800
AT5G38800	AT5G38800
AT3G58120	AT5G38800
AT5G60970	AT5G38800
AT5G53200	AT5G38800
AT3G62420	AT1G75390
AT5G28770	AT1G75390
AT3G16770	AT1G75390
AT3G57390	AT2G04038
AT3G18550	AT2G04038
AT5G38800	AT2G04038
AT2G04038	AT1G13600
AT3G23240	AT2G04038
AT2G28160	AT2G04038
AT4G34680	AT2G04038
AT3G02150	AT2G04038
AT2G31070	AT2G04038
AT3G47620	AT2G04038
AT3G15030	AT2G04038
AT5G60970	AT2G04038
AT4G35550	AT2G04038
AT3G56660	AT3G56660
AT3G62420	AT5G24800
AT3G62420	AT4G02640
AT3G62420	AT5G28770
AT3G62420	AT4G34590
AT1G68880	AT1G13600
AT5G49450	AT1G13600
AT5G38800	AT1G13600
AT1G75390	AT1G13600
AT3G62420	AT1G13600
AT1G13600	AT1G13600
AT4G34590	AT1G13600
AT1G42990	AT4G17785
AT1G42990	AT5G11590
AT3G58120	AT3G58120
AT3G58120	AT4G18390
AT3G58120	AT5G24590
AT3G58120	AT1G43700
AT5G24800	AT5G49450
AT5G24800	AT1G75390
AT5G24800	AT4G02640
AT5G24800	AT5G28770
AT5G24800	AT4G34590
AT5G27130	AT1G68880
AT3G18550	AT1G68880
AT2G28160	AT1G68880
AT3G61910	AT1G68880
AT5G38140	AT1G68880
AT2G31070	AT1G68880
AT3G47620	AT1G68880
AT3G15030	AT1G68880
AT5G65210	AT1G68880
AT3G24650	AT4G02640
AT4G02640	AT5G49450
AT4G02640	AT1G75390
AT4G02640	AT5G28770
AT4G02640	AT4G34590
AT5G28770	AT5G28770
AT5G28770	AT4G34590
AT5G41410	AT1G75080
AT1G75080	AT1G75080
AT1G75080	AT3G27810
AT1G75080	AT5G39820
AT1G75080	AT3G02150
AT1G75080	AT1G66350
AT1G75080	AT3G03450
AT1G75080	AT5G17490
AT1G75080	AT5G35770
AT1G75080	AT2G31070
AT1G75080	AT3G47620
AT1G75080	AT3G45150
AT1G75080	AT3G15030
AT4G24540	AT1G26310
AT1G26310	AT1G24260
AT1G26310	AT2G22540
AT4G25490	AT5G61420
AT2G46830	AT2G46830
AT2G46830	AT1G01060
AT2G46830	AT4G18390
AT4G26150	AT4G34530
AT4G36540	AT4G34530
AT4G34530	AT1G26260
AT4G34530	AT5G60480
AT4G34530	AT5G54070
AT4G34530	AT5G61420
AT4G34530	AT5G23000
AT4G34530	AT5G37260
AT5G39750	AT5G15840
AT5G42520	AT5G15840
AT5G15840	AT5G38800
AT5G15840	AT5G61600
AT5G15840	AT5G44190
AT5G15840	AT5G56860
AT5G15840	AT5G25220
AT5G65050	AT5G15850
AT5G15850	AT5G23000
AT5G15850	AT5G27910
AT3G02380	AT5G27910
AT2G24790	AT5G27910
AT5G24930	AT5G27910
AT5G15840	AT3G05690
AT5G15840	AT2G38880
AT5G15840	AT5G47640
AT5G15840	AT3G48590
AT5G15840	AT1G56170
AT5G15840	AT1G54830
AT5G15840	AT5G27910
AT5G15840	AT1G08970
AT5G15840	AT5G65210
AT2G46410	AT1G63650
AT2G46410	AT5G41315
AT2G46410	AT5G53200
AT5G45300	AT4G01060
AT4G34530	AT4G01060
AT4G01060	AT5G02840
AT4G01060	AT4G09820
AT5G15160	AT2G31280
AT2G31280	AT2G33860
AT2G31280	AT5G37260
AT2G31280	AT2G41940
AT4G11140	AT4G11140
AT4G11140	AT4G23750
AT4G11140	AT5G53290
AT4G11140	AT4G27950
AT4G11140	AT2G46310
AT4G11140	AT3G61630
AT4G11140	AT5G11260
AT4G23750	AT4G23750
AT4G23750	AT5G53290
AT4G23750	AT4G27950
AT4G23750	AT2G46310
AT4G23750	AT3G61630
AT5G65050	AT5G53290
AT5G53290	AT5G53290
AT5G53290	AT4G27950
AT5G53290	AT2G46310
AT5G53290	AT3G61630
AT4G27950	AT4G27950
AT4G27950	AT2G46310
AT4G27950	AT3G61630
AT4G27950	AT5G27910
AT2G46310	AT2G46310
AT2G46310	AT3G61630
AT2G46310	AT4G35550
AT3G61630	AT3G61630
AT3G61630	AT4G31920
AT3G15170	AT3G15170
AT3G15170	AT5G53950
AT3G15170	AT1G76420
AT5G53950	AT5G53950
AT5G53950	AT1G76420
AT5G53950	AT5G60970
AT5G53950	AT5G60120
AT1G76420	AT1G76420
AT1G76420	AT5G17800
AT1G76420	AT3G61910
AT1G76420	AT5G50820
AT1G76420	AT4G18390
AT5G15840	AT2G40140
AT5G15850	AT2G40140
AT2G40140	AT5G37260
AT2G40140	AT4G18390
AT2G40140	AT5G24590
AT3G61850	AT1G14920
AT3G48160	AT5G65210
AT5G02470	AT5G22220
AT5G02470	AT2G36010
AT5G02470	AT5G24590
AT5G03415	AT5G22220
AT5G03415	AT2G36010
AT1G49720	AT3G44460
AT4G34000	AT3G44460
AT3G56850	AT3G44460
AT3G44460	AT1G14920
AT1G24590	AT1G28360
AT1G24590	AT1G53170
AT1G24590	AT1G73410
AT1G24590	AT4G36930
AT1G24590	AT5G60120
AT4G21330	AT4G21330
AT1G63650	AT1G63650
AT1G63650	AT1G14920
AT1G63650	AT5G41315
AT1G63650	AT2G01570
AT1G63650	AT5G65210
AT2G27050	AT1G32640
AT5G21120	AT5G54070
AT5G21120	AT5G38140
AT2G27050	AT1G73730
AT3G20770	AT1G32640
AT5G51870	AT1G03800
AT5G39750	AT1G03800
AT1G79430	AT1G03800
AT1G73830	AT1G03800
AT1G03800	AT2G30420
AT1G03800	AT5G56860
AT1G03800	AT4G37790
AT1G03800	AT1G23420
AT1G03800	AT1G31320
AT1G03800	AT1G67100
AT1G03800	AT1G77080
AT1G03800	AT3G09370
AT1G03800	AT1G79180
AT1G03800	AT2G37060
AT1G03800	AT5G38140
AT1G03800	AT3G45150
AT1G28370	AT1G53230
AT5G41410	AT1G28360
AT1G28360	AT2G20570
AT1G28360	AT2G18550
AT1G28360	AT2G30340
AT1G28360	AT1G31320
AT1G28360	AT1G32540
AT1G28360	AT3G27810
AT1G28360	AT3G61910
AT1G28360	AT5G39820
AT1G28360	AT3G20910
AT1G28360	AT3G02150
AT1G28360	AT3G47620
AT1G28360	AT1G53230
AT1G28360	AT3G15030
AT1G28360	AT5G60120
AT1G28360	AT4G35550
AT1G04370	AT1G79180
AT4G36540	AT3G23240
AT3G23240	AT3G60530
AT1G50640	AT3G61910
AT3G18550	AT3G15210
AT3G15210	AT4G40060
AT3G15210	AT5G15210
AT3G15210	AT4G17785
AT3G15210	AT5G39820
AT3G15210	AT3G47620
AT3G15210	AT3G45150
AT3G15210	AT5G60120
AT4G32980	AT4G17490
AT4G17490	AT4G18390
AT3G20310	AT5G17800
AT3G20310	AT5G65210
AT2G45190	AT1G53170
AT4G30080	AT1G53170
AT5G41410	AT1G53170
AT1G53170	AT2G18550
AT1G53170	AT4G32010
AT1G53170	AT3G27810
AT1G53170	AT2G23290
AT1G53170	AT4G37260
AT1G53170	AT5G18240
AT1G53170	AT5G39820
AT1G53170	AT3G02150
AT1G53170	AT5G18560
AT1G53170	AT3G45150
AT1G53170	AT4G18390
AT1G53170	AT1G53230
AT1G53170	AT3G15030
AT1G53170	AT5G60120
AT1G53170	AT4G13640
AT5G44210	AT5G60120
AT1G24590	AT1G12980
AT5G56780	AT3G26790
AT5G53290	AT2G30420
AT5G21120	AT2G30420
AT2G30420	AT3G51080
AT2G30420	AT5G24590
AT2G45190	AT2G33860
AT2G33860	AT2G33860
AT2G33860	AT3G02150
AT2G33860	AT3G47620
AT2G33860	AT3G15030
AT2G33860	AT5G60970
AT2G33860	AT5G60120
AT4G35900	AT4G35900
AT5G39750	AT2G33835
AT5G41410	AT2G33835
AT3G47710	AT2G33835
AT3G18550	AT2G33835
AT5G24930	AT2G33835
AT2G40140	AT2G33835
AT2G33835	AT4G17460
AT2G33835	AT5G47370
AT2G33835	AT4G36990
AT2G33835	AT3G02150
AT2G33835	AT3G47620
AT2G33835	AT3G45150
AT2G33835	AT5G08070
AT2G33835	AT3G15030
AT2G33835	AT5G60970
AT2G46830	AT3G22170
AT3G22170	AT3G22170
AT3G22170	AT5G11260
AT3G22170	AT1G01060
AT3G22170	AT2G20180
AT5G10140	AT2G22540
AT3G25710	AT3G24140
AT3G24140	AT3G26744
AT3G24140	AT1G12860
AT1G54060	AT1G10240
AT1G10240	AT2G31070
AT1G10240	AT3G15030
AT5G18960	AT5G38800
AT5G18960	AT5G47370
AT2G32250	AT4G35550
AT2G33835	AT2G27110
AT2G27110	AT4G38180
AT2G27110	AT3G01220
AT2G27110	AT3G27650
AT2G27110	AT3G20910
AT2G27110	AT5G37260
AT2G27110	AT4G24470
AT2G27110	AT3G21175
AT2G33835	AT1G76320
AT1G76320	AT4G35550
AT4G38180	AT5G37260
AT4G38180	AT5G65210
AT3G56970	AT2G28160
AT3G56980	AT2G28160
AT2G41240	AT2G28160
AT5G04150	AT2G28160
AT3G47710	AT2G28160
AT2G27050	AT2G28160
AT3G20770	AT2G28160
AT2G28160	AT3G24520
AT2G28160	AT5G65210
AT2G28160	AT5G24590
AT4G25530	AT4G25530
AT5G64750	AT1G14920
AT1G31630	AT1G14920
AT4G21750	AT1G14920
AT5G41410	AT1G14920
AT1G19700	AT1G14920
AT2G23760	AT1G14920
AT3G54620	AT1G14920
AT5G28770	AT1G14920
AT5G53950	AT1G14920
AT3G16770	AT1G14920
AT5G21120	AT1G14920
AT1G53170	AT1G14920
AT1G12980	AT1G14920
AT2G33835	AT1G14920
AT1G14920	AT3G60530
AT1G14920	AT5G41315
AT1G14920	AT4G17460
AT1G14920	AT5G15150
AT1G14920	AT3G50330
AT1G14920	AT5G54070
AT1G14920	AT3G50700
AT1G14920	AT2G02080
AT1G14920	AT5G16560
AT1G14920	AT5G25220
AT1G14920	AT3G27920
AT1G14920	AT4G17785
AT1G14920	AT1G73410
AT1G14920	AT2G02450
AT1G14920	AT3G10480
AT1G14920	AT3G29035
AT1G14920	AT4G04890
AT1G14920	AT3G02150
AT1G14920	AT2G01760
AT1G14920	AT4G36930
AT1G14920	AT2G31380
AT1G14920	AT1G06040
AT1G14920	AT1G67260
AT1G14920	AT2G31070
AT1G14920	AT3G47620
AT1G14920	AT3G45150
AT1G14920	AT5G08070
AT1G14920	AT4G18390
AT1G14920	AT1G53230
AT1G14920	AT5G60970
AT1G14920	AT5G60120
AT1G14920	AT1G69810
AT1G14920	AT2G41940
AT1G08010	AT3G45170
AT3G45170	AT3G60530
AT3G45170	AT4G36240
AT3G16870	AT3G51080
AT3G16870	AT4G17785
AT3G16870	AT3G61910
AT3G16870	AT4G17980
AT3G16870	AT4G18390
AT5G39750	AT4G34680
AT5G62165	AT3G60530
AT5G15840	AT3G51080
AT3G51080	AT5G20240
AT3G51080	AT5G23260
AT4G32890	AT5G37260
AT4G36730	AT5G44190
AT4G36730	AT2G20570
AT4G36730	AT5G11260
AT4G36730	AT3G17609
AT4G01120	AT5G11260
AT4G01120	AT2G46270
AT2G46270	AT1G03970
AT2G46270	AT2G20570
AT3G56850	AT1G03970
AT1G19220	AT1G03970
AT4G36540	AT1G03970
AT2G41070	AT1G03970
AT4G01120	AT1G03970
AT1G03970	AT1G77080
AT5G15850	AT4G34590
AT4G34590	AT4G34590
AT4G34590	AT2G31070
AT5G27090	AT5G06650
AT5G06650	AT5G65210
AT3G58070	AT4G18390
AT3G58070	AT5G65210
AT1G79840	AT5G40330
AT5G41315	AT5G41315
AT5G41315	AT3G27920
AT5G41315	AT5G40330
AT5G41315	AT5G14750
AT5G41315	AT1G66390
AT5G41315	AT1G71030
AT5G41315	AT2G01570
AT5G41315	AT5G53200
AT5G53290	AT5G44190
AT5G15840	AT1G31140
AT1G31140	AT3G47620
AT1G31140	AT3G15030
AT2G45190	AT2G20570
AT5G39660	AT2G20570
AT5G53950	AT2G20570
AT2G33860	AT2G20570
AT3G58070	AT2G20570
AT2G20570	AT5G63090
AT2G20570	AT2G34720
AT2G20570	AT3G20910
AT2G20570	AT4G01500
AT2G20570	AT5G37260
AT2G20570	AT4G27330
AT2G20570	AT5G60970
AT2G20570	AT2G41940
AT3G56850	AT4G37740
AT5G03415	AT4G37740
AT4G37740	AT4G37740
AT4G37740	AT2G45480
AT4G37740	AT5G09750
AT4G37740	AT2G40470
AT4G37740	AT4G02560
AT4G37740	AT5G20240
AT4G37740	AT2G43010
AT4G37740	AT2G42830
AT4G37740	AT4G31800
AT4G37740	AT1G80840
AT5G38860	AT3G52910
AT3G52910	AT3G61910
AT3G56850	AT5G53660
AT1G76890	AT4G37260
AT1G33240	AT3G28917
AT1G33240	AT2G34720
AT1G33240	AT3G02150
AT1G33240	AT2G31070
AT5G61420	AT3G01140
AT5G15850	AT4G00150
AT4G00150	AT4G18390
AT4G00150	AT4G13640
AT5G06710	AT5G47370
AT4G17460	AT5G47370
AT4G17460	AT4G37790
AT5G06710	AT4G37790
AT5G47370	AT4G37790
AT4G37790	AT5G41090
AT4G37790	AT5G24590
AT3G19510	AT3G61910
AT3G19510	AT4G35550
AT4G17460	AT3G60390
AT5G06710	AT3G60390
AT5G47370	AT3G60390
AT4G37790	AT3G60390
AT3G60390	AT4G16780
AT3G11020	AT2G22800
AT4G17460	AT2G22800
AT5G47370	AT2G22800
AT4G37790	AT2G22800
AT2G22800	AT4G16780
AT2G22800	AT3G61910
AT2G22800	AT5G37260
AT1G53170	AT3G61890
AT3G61890	AT5G54230
AT3G61890	AT5G37260
AT2G01430	AT2G01430
AT4G17460	AT1G70920
AT5G47370	AT1G70920
AT4G37790	AT1G70920
AT3G60390	AT1G70920
AT2G22800	AT1G70920
AT4G16780	AT1G70920
AT1G70920	AT2G44910
AT1G70920	AT5G65210
AT3G01470	AT3G01470
AT3G01470	AT3G49850
AT5G38740	AT3G01220
AT3G01220	AT5G15210
AT3G01220	AT5G38140
AT3G01220	AT3G02150
AT3G01220	AT3G47620
AT3G01220	AT3G45150
AT3G01220	AT3G15030
AT3G01220	AT5G60970
AT3G01220	AT5G65210
AT2G18550	AT5G38800
AT2G18550	AT2G04038
AT3G15210	AT2G18550
AT5G44210	AT2G18550
AT3G01220	AT2G18550
AT2G18550	AT4G24660
AT2G18550	AT5G39760
AT2G18550	AT5G65410
AT2G18550	AT5G42780
AT2G18550	AT3G50890
AT2G18550	AT5G09750
AT2G18550	AT2G41690
AT2G18550	AT4G08150
AT2G18550	AT5G25220
AT2G18550	AT5G17800
AT2G18550	AT2G13570
AT2G18550	AT5G27910
AT2G18550	AT3G02150
AT2G18550	AT5G37260
AT2G18550	AT2G04890
AT2G18550	AT2G30432
AT2G18550	AT5G53200
AT2G18550	AT3G01970
AT2G18550	AT1G69600
AT4G24660	AT4G24660
AT4G24660	AT2G18350
